audio_id,file_name,category,resolved_path,duration,rms_mean,rms_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std
audio_0519,audio_0519.mp3,clock,..\..\data\raw\audio\audio_0519.mp3,19.26,0.007867713458836079,0.00646990304812789,0.009807981927710843,0.010765396622663029,779.2674781766262,415.68241505858805,1571.7512205733385,432.4032058418689,1539.6629388648344,889.5416089269414
audio_0520,audio_0520.mp3,clock,..\..\data\raw\audio\audio_0520.mp3,15.824897959183673,0.000609634502325207,0.0002847096184268594,0.031193439561950146,0.019499380552747955,1651.061149488756,514.4851275167658,2458.005964866978,647.6788977310416,4232.505784915689,1384.854903683117
audio_0521,audio_0521.mp3,clock,..\..\data\raw\audio\audio_0521.mp3,21.80498866213152,0.001537937088869512,0.0012211664579808712,0.08582477975398936,0.05074546266006959,2316.0441110744496,605.8884910847923,2547.842393885204,269.20579414776665,5278.303508352726,1019.704119963609
audio_0522,audio_0522.mp3,clock,..\..\data\raw\audio\audio_0522.mp3,4.0,0.006836396642029285,0.01829972304403782,0.42371805003612717,0.055667729169055685,5095.306784367692,693.1447516469999,2833.1008303510625,293.5861023888615,8537.105988078034,510.0115507906157
audio_0523,audio_0523.mp3,clock,..\..\data\raw\audio\audio_0523.mp3,20.43469387755102,0.00048626106581650674,0.00035618431866168976,0.08644684218927355,0.02174644372315447,2491.7152885370683,425.1456900663408,2901.144242540383,294.3887079884015,6102.023374317182,1277.5346987502367
audio_0524,audio_0524.mp3,clock,..\..\data\raw\audio\audio_0524.mp3,8.530340136054422,0.01371128298342228,0.027697505429387093,0.39947377080502716,0.21144064804513035,4635.66745075832,1796.0788758814617,2772.5911798198586,493.51074183854456,7725.533991274627,2467.9329009528224
audio_0525,audio_0525.mp3,clock,..\..\data\raw\audio\audio_0525.mp3,27.689433106575965,0.00020441129163373262,0.00026563412393443286,0.11491881352158424,0.017920507114073402,2450.15816709172,228.5295856270254,2608.1591459425176,323.0277924380261,5358.71719142917,738.2372603350858
audio_0526,audio_0526.mp3,clock,..\..\data\raw\audio\audio_0526.mp3,9.775600907029478,0.008228885941207409,0.008786942809820175,0.08555682575533176,0.11216032512392524,2476.080227571479,1667.5248584507137,2902.7112439598195,690.2729337164814,5444.711231394402,3324.0275299876325
audio_0527,audio_0527.mp3,clock,..\..\data\raw\audio\audio_0527.mp3,13.0,0.001032862695865333,0.0010495162568986416,0.14980207170758927,0.047767584974063616,2716.051197189421,500.1134955237431,2602.4434256638083,259.9622718008808,5205.978698730469,1433.7379504344003
audio_0528,audio_0528.mp3,clock,..\..\data\raw\audio\audio_0528.mp3,9.426122448979593,0.0006255459156818688,0.0006744723068550229,0.0752073391317734,0.07696072976592921,2069.1829893811314,837.3017762937253,2479.601498576335,382.0152713336825,4477.341645339439,1214.573670764497
audio_0529,audio_0529.mp3,clock,..\..\data\raw\audio\audio_0529.mp3,4.620770975056689,0.15281882882118225,0.07177688181400299,0.05772216796875,0.016834438991902994,1244.611728959186,196.65205911847664,1383.7052573042342,149.63452797041697,2531.0126953125,369.60405547209143
audio_0530,audio_0530.mp3,footsteps,..\..\data\raw\audio\audio_0530.mp3,19.63750566893424,0.006533849984407425,0.010558141395449638,0.11826044898788417,0.05198362840032974,2802.9305574966124,808.519634319562,2803.239408033871,511.7350817277325,6182.421875,1816.613476960528
audio_0531,audio_0531.mp3,footsteps,..\..\data\raw\audio\audio_0531.mp3,5.329160997732426,0.012699549086391926,0.01672370731830597,0.10173870584239131,0.039616159625000674,2454.908319411134,705.4002831577382,2673.885626907507,568.6335558155587,5543.208220108696,1885.2060914760036
audio_0532,audio_0532.mp3,footsteps,..\..\data\raw\audio\audio_0532.mp3,3.8220408163265307,0.0023798043839633465,0.0037920698523521423,0.06897194602272727,0.0547018890487011,1907.3361018267983,977.80898741734,2378.0421353231523,615.633928187569,4228.011807528409,2224.7464534302885
audio_0533,audio_0533.mp3,footsteps,..\..\data\raw\audio\audio_0533.mp3,19.84108843537415,0.00129795097745955,0.002697655698284507,0.26002661275584793,0.18709084761298775,3617.300350705514,1434.791964367344,2935.023375270328,293.7599313631951,7168.491467927632,1879.1861736192595
audio_0534,audio_0534.mp3,footsteps,..\..\data\raw\audio\audio_0534.mp3,14.958321995464853,0.004850085359066725,0.004779670387506485,0.1280674660852713,0.042965062118078746,2710.258745832753,661.5987495191625,2858.253918283,328.5926075009463,6160.098564680233,1416.8721138177384
audio_0535,audio_0535.mp3,footsteps,..\..\data\raw\audio\audio_0535.mp3,17.09283446712018,0.01146126352250576,0.015461526811122894,0.11381060782734057,0.042106090565903614,2466.1654673415883,753.6749549404988,2657.36225615901,476.38850621141285,5458.550122699712,1819.7461251312404
audio_0536,audio_0536.mp3,footsteps,..\..\data\raw\audio\audio_0536.mp3,10.085396825396826,0.010899092070758343,0.01874895580112934,0.1146697647270115,0.0516015690116215,1780.6960558936216,682.6593983559477,1677.973342161494,456.57120782729316,3515.3325363685344,1259.6375643788454
