id,source,freesound_id,name,username,license,duration,tags,description,audio_url,local_path,audio_id,file_name,file_path,category,query,source_api,source_url,audio_download_url,created,resolved_path,exists,duration_numeric,duration_status
,,,Rising Tension,Headphaze,https://creativecommons.org/licenses/by/4.0/,16.6147,"artificial,build-up,dark,digital,distorted,distortion,electronic,experimental,fx,metallic,noise,processed,rise,sci-fi,soundscape,synthesis,synthesizer,synthetic,tension,weird",,,,audio_0382,audio_0382.mp3,..\..\data\raw\audio\audio_0382.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/Headphaze/sounds/170605/,https://cdn.freesound.org/previews/170/170605_847303-hq.mp3,2012-11-27T23:54:35Z,..\..\data\raw\audio\audio_0382.mp3,True,16.6147,known
,,,Dramatic Tension.wav,AaronGNP,https://creativecommons.org/licenses/by/4.0/,10.7595,"ambient,dark,dirge,drama,pad,soundscape,tension",,,,audio_0383,audio_0383.mp3,..\..\data\raw\audio\audio_0383.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/AaronGNP/sounds/54615/,https://cdn.freesound.org/previews/54/54615_4649-hq.mp3,2008-06-01T10:05:53Z,..\..\data\raw\audio\audio_0383.mp3,True,10.7595,known
,,,Horror Corps.wav,AaronGNP,https://creativecommons.org/licenses/by/4.0/,8.88692,"airy,ambient,bright,dark,dirge,pad,soundscape,tension",,,,audio_0384,audio_0384.mp3,..\..\data\raw\audio\audio_0384.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/AaronGNP/sounds/54619/,https://cdn.freesound.org/previews/54/54619_4649-hq.mp3,2008-06-01T10:07:53Z,..\..\data\raw\audio\audio_0384.mp3,True,8.88692,known
,,,High tension drone.wav,juskiddink,https://creativecommons.org/licenses/by/4.0/,12.8612,"accordion,alarm,cinema,cinematic,creepy,discordant,dread,effect,fear,film,fx,horror,intense,movie,noise,processed,shock,sound,soundscape,suspense,tense,tension",,,,audio_0385,audio_0385.mp3,..\..\data\raw\audio\audio_0385.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/juskiddink/sounds/117130/,https://cdn.freesound.org/previews/117/117130_649468-hq.mp3,2011-03-22T20:26:43Z,..\..\data\raw\audio\audio_0385.mp3,True,12.8612,known
,,,Low tension buildup.wav,juskiddink,https://creativecommons.org/licenses/by/4.0/,28.0218,"accordion,ambience,bass,build,buildup,cinema,cinematic,climax,creepy,deep,dread,effect,fear,film,fx,intense,movie,noise,processed,rumble,soft,soundscape,suspense,tense,tension,wobble",,,,audio_0386,audio_0386.mp3,..\..\data\raw\audio\audio_0386.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/juskiddink/sounds/117129/,https://cdn.freesound.org/previews/117/117129_649468-hq.mp3,2011-03-22T20:11:12Z,..\..\data\raw\audio\audio_0386.mp3,True,28.0218,known
,,,DSGNDron_Steady Distant Machine Ambience 19_EM,newlocknew,https://creativecommons.org/licenses/by-nc/4.0/,11.4917,"ambience,ambient,atmos,atmosphere,background,cinematic,creepy,dark,drone,effect,environment,film,game,horror,industrial,industrial-textures,machine,metal,nightmare,noise,pad,scary,sinister,sound,soundscape,spooky,suspense,tension,terrifying,texture",,,,audio_0387,audio_0387.mp3,..\..\data\raw\audio\audio_0387.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/newlocknew/sounds/727620/,https://cdn.freesound.org/previews/727/727620_5828667-hq.mp3,2024-03-15T07:11:21Z,..\..\data\raw\audio\audio_0387.mp3,True,11.4917,known
,,,DSGNRmbl_Steady Versatile Rumble 12_EM,newlocknew,https://creativecommons.org/licenses/by/4.0/,13.2,"ambience,ambient,atmos,atmosphere,background,cinematic,dark,drone,earthquake,effect,environment,film,game,horror,industrial,industrial-textures,machine,nightmare,noise,nostromo,pad,rumble,sci-fi,sound,soundscape,space-ship,sulaco,suspense,tension,texture",,,,audio_0388,audio_0388.mp3,..\..\data\raw\audio\audio_0388.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/newlocknew/sounds/752142/,https://cdn.freesound.org/previews/752/752142_5828667-hq.mp3,2024-08-26T06:22:08Z,..\..\data\raw\audio\audio_0388.mp3,True,13.2,known
,,,DSGNDron_Steady Distant Machine Ambience 15_EM.wav,newlocknew,https://creativecommons.org/licenses/by-nc/4.0/,9.99492,"ambience,ambient,atmos,atmosphere,background,cinematic,creepy,dark,drone,effect,environment,film,game,horror,industrial,industrial-textures,machine,metal,nightmare,noise,pad,scary,sinister,sound,soundscape,spooky,suspense,tension,terrifying,texture",,,,audio_0389,audio_0389.mp3,..\..\data\raw\audio\audio_0389.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/newlocknew/sounds/678995/,https://cdn.freesound.org/previews/678/678995_5828667-hq.mp3,2023-03-16T07:00:51Z,..\..\data\raw\audio\audio_0389.mp3,True,9.99492,known
,,,DSGNDron_Steady Distant Machine Ambience 22_EM.wav,newlocknew,https://creativecommons.org/licenses/by-nc/4.0/,8.73325,"ambience,ambient,atmos,atmosphere,background,cinematic,creepy,dark,drone,effect,environment,film,game,horror,industrial,industrial-textures,machine,metal,nightmare,noise,pad,scary,sinister,sound,soundscape,spooky,suspense,tension,terrifying,texture",,,,audio_0390,audio_0390.mp3,..\..\data\raw\audio\audio_0390.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/newlocknew/sounds/703791/,https://cdn.freesound.org/previews/703/703791_5828667-hq.mp3,2023-09-27T13:28:04Z,..\..\data\raw\audio\audio_0390.mp3,True,8.73325,known
,,,Atmospheric sample,BloodPixelHero,https://creativecommons.org/licenses/by/4.0/,12.8,"ambience,ambient,atmosphere,dark,loop,obscurity,sample,sci-fi,soundscape,space,strange,suspense,tension,uncertainty",,,,audio_0391,audio_0391.mp3,..\..\data\raw\audio\audio_0391.mp3,tense,tension soundscape,Freesound,https://freesound.org/people/BloodPixelHero/sounds/646407/,https://cdn.freesound.org/previews/646/646407_10182789-hq.mp3,2022-08-09T08:17:04Z,..\..\data\raw\audio\audio_0391.mp3,True,12.8,known
